"Date","dateRep","day","month","year","cases","deaths","countriesAndTerritories","countriesCode"
"2020-09-23","23/09/2020","23","9","2020","330","4","Japan","JP"
"2020-09-24","24/09/2020","24","9","2020","273","8","Japan","JP"
"2020-09-25","25/09/2020","25","9","2020","456","12","Japan","JP"
"2020-09-26","26/09/2020","26","9","2020","558","8","Japan","JP"
"2020-09-27","27/09/2020","27","9","2020","635","5","Japan","JP"
"2020-09-28","28/09/2020","28","9","2020","441","3","Japan","JP"
"2020-09-29","29/09/2020","29","9","2020","363","9","Japan","JP"
"2020-09-30","30/09/2020","30","9","2020","516","7","Japan","JP"
"2020-10-01","1/10/2020","1","10","2020","0","0","Japan","JP"
"2020-10-02","2/10/2020","2","10","2020","1205","14","Japan","JP"
"2020-10-03","3/10/2020","3","10","2020","553","12","Japan","JP"
"2020-10-04","4/10/2020","4","10","2020","571","7","Japan","JP"
"2020-10-05","5/10/2020","5","10","2020","400","2","Japan","JP"
"2020-10-06","6/10/2020","6","10","2020","308","3","Japan","JP"
"2020-10-07","7/10/2020","7","10","2020","496","3","Japan","JP"
"2020-10-08","8/10/2020","8","10","2020","477","8","Japan","JP"
"2020-10-09","9/10/2020","9","10","2020","619","3","Japan","JP"
"2020-10-10","10/10/2020","10","10","2020","594","8","Japan","JP"
"2020-10-11","11/10/2020","11","10","2020","679","3","Japan","JP"
"2020-10-12","12/10/2020","12","10","2020","435","2","Japan","JP"
"2020-10-13","13/10/2020","13","10","2020","326","5","Japan","JP"
"2020-10-14","14/10/2020","14","10","2020","467","4","Japan","JP"
"2020-10-15","15/10/2020","15","10","2020","570","8","Japan","JP"
"2020-10-16","16/10/2020","16","10","2020","721","4","Japan","JP"
"2020-10-17","17/10/2020","17","10","2020","632","11","Japan","JP"
"2020-10-18","18/10/2020","18","10","2020","593","9","Japan","JP"
"2020-10-19","19/10/2020","19","10","2020","471","4","Japan","JP"
"2020-10-20","20/10/2020","20","10","2020","353","2","Japan","JP"
"2020-10-21","21/10/2020","21","10","2020","453","3","Japan","JP"
"2020-10-22","22/10/2020","22","10","2020","591","6","Japan","JP"
"2020-10-23","23/10/2020","23","10","2020","614","9","Japan","JP"
"2020-10-24","24/10/2020","24","10","2020","697","12","Japan","JP"
"2020-10-25","25/10/2020","25","10","2020","699","5","Japan","JP"
"2020-10-26","26/10/2020","26","10","2020","540","7","Japan","JP"
"2020-10-27","27/10/2020","27","10","2020","424","7","Japan","JP"
"2020-10-28","28/10/2020","28","10","2020","618","5","Japan","JP"
"2020-10-29","29/10/2020","29","10","2020","736","3","Japan","JP"
"2020-10-30","30/10/2020","30","10","2020","770","11","Japan","JP"
"2020-10-31","31/10/2020","31","10","2020","770","11","Japan","JP"
"2020-11-01","1/11/2020","1","11","2020","754","11","Japan","JP"
"2020-11-02","2/11/2020","2","11","2020","667","8","Japan","JP"
"2020-11-03","3/11/2020","3","11","2020","468","6","Japan","JP"
"2020-11-04","4/11/2020","4","11","2020","619","6","Japan","JP"
"2020-11-05","5/11/2020","5","11","2020","938","8","Japan","JP"
"2020-11-06","6/11/2020","6","11","2020","944","12","Japan","JP"
"2020-11-07","7/11/2020","7","11","2020","1132","3","Japan","JP"
"2020-11-08","8/11/2020","8","11","2020","1172","3","Japan","JP"
"2020-11-09","9/11/2020","9","11","2020","998","6","Japan","JP"
"2020-11-10","10/11/2020","10","11","2020","899","11","Japan","JP"
"2020-11-11","11/11/2020","11","11","2020","1173","12","Japan","JP"
"2020-11-12","12/11/2020","12","11","2020","1555","10","Japan","JP"
"2020-11-13","13/11/2020","13","11","2020","1587","16","Japan","JP"
"2020-11-14","14/11/2020","14","11","2020","1685","13","Japan","JP"
"2020-11-15","15/11/2020","15","11","2020","1694","3","Japan","JP"
"2020-11-16","16/11/2020","16","11","2020","0","0","Japan","JP"
"2020-11-17","17/11/2020","17","11","2020","2649","20","Japan","JP"
"2020-11-18","18/11/2020","18","11","2020","1489","10","Japan","JP"
"2020-11-19","19/11/2020","19","11","2020","2151","9","Japan","JP"
"2020-11-20","20/11/2020","20","11","2020","2301","21","Japan","JP"
